period_begin	period_end	period_duration	region_type	region_type_id	table_id	is_seasonally_adjusted	region	city	state	state_code	property_type	property_type_id	median_sale_price	median_sale_price_mom	median_sale_price_yoy	median_list_price	median_list_price_mom	median_list_price_yoy	median_ppsf	median_ppsf_mom	median_ppsf_yoy	median_list_ppsf	median_list_ppsf_mom	median_list_ppsf_yoy	homes_sold	homes_sold_mom	homes_sold_yoy	pending_sales	pending_sales_mom	pending_sales_yoy	new_listings	new_listings_mom	new_listings_yoy	inventory	inventory_mom	inventory_yoy	months_of_supply	months_of_supply_mom	months_of_supply_yoy	median_dom	median_dom_mom	median_dom_yoy	avg_sale_to_list	avg_sale_to_list_mom	avg_sale_to_list_yoy	sold_above_list	sold_above_list_mom	sold_above_list_yoy	price_drops	price_drops_mom	price_drops_yoy	off_market_in_two_weeks	off_market_in_two_weeks_mom	off_market_in_two_weeks_yoy	parent_metro_region	parent_metro_region_metro_code	last_updated
2021-05-01	2021-05-31	30	national	11	1400	f	 National	National	U.S.	US	Condo/Co-op	3	304384	-0.0039141046893046427	0.19620327875261734	315395	0.010495515430639202	0.098505223707534117	269	-0.0068945587053155233	0.24898761879332421	277	-0.0030469571327810252	0.12158090910418107	79104	-0.039787987746413345	1.1316507381498151	88876	-0.02719337841525038	0.44754348463870763	86880	-0.061158943875616045	0.23928819624271269	127822	-0.018758583591387268	-0.26737415877558357	1.6158630645542336	0.034630251919105293	-3.0856578216725405	24	-5	-17	1.0039534302526569	0.00565732303839106	0.026015960607772559	0.3932224248002073	0.043722290718034462	0.20882659485661192	0.080982147222899717	0.002878616784828647	-0.028526471329503617	0.55717611636573361	0.027726487368661679	0.18754153874206331			2024-09-18 14:08:39
2016-06-01	2016-06-30	30	national	11	1400	f	 National	National	U.S.	US	Condo/Co-op	3	223430	0.025375724848171188	0.078967508353720017	237105	0.003043814156210578	0.088818910184792266	191	0.037838774556473886	0.081786254764621091	201	-0.0049633315597108485	0.081522986879215331	75103	0.099162988049990464	0.039208073106761221	86721	0.015944793141520419	0.05721038215871177	81726	-0.020618937697104212	-0.02003500731772978	198333	-0.0072274842182191712	-0.095547887243140894	2.640807068077307	-0.28300210438513762	-0.39345863372783452	41	0	-3	0.98131625848774673	0.00097050083665040088	0.0027204827817610688	0.22192232284117588	-0.0010903184636863461	0.012460975797530971	0.10830951258061224	0.0058051269129743704	0.0013391487630752125	0.30828641980283239	-0.029205834407817488	0.037433049494380477			2024-09-18 14:08:39
2022-01-01	2022-01-31	30	national	11	1400	f	 National	National	U.S.	US	Condo/Co-op	3	312351	-0.0019775419496613766	0.11396717909677467	345736	0.12994995306261981	0.12789144888607984	281	0.0032620762763384548	0.13342815390872587	309	0.10211953970931975	0.12654708957769834	50063	-0.23502445366495062	0.00045725059206080942	65931	0.16488978731023529	-0.094995221893185322	61378	0.46800194841866083	-0.10731725919545232	91685	0.027527812404156249	-0.34766236414403606	1.8313929095355239	0.46795459223279856	-0.97732180247637235	35	4	-11	0.9963714063613901	-0.00056130707819690429	0.01396663696395517	0.33902724486923386	0.0024231726634967865	0.13131483476918118	0.061258908413420535	-0.00082035748065317077	-0.031075765695512819	0.49295656009868627	0.084755803135209529	0.11385069493494349			2024-09-18 14:08:39
2015-01-01	2015-01-31	30	national	11	1400	f	 National	National	U.S.	US	Single Units Only	-2	213358	-0.043872178369191328	0.062959398583046333	234993	0.10897455192793615	0.064724401928729636	118	-0.019568735434969065	0.051556140173844689	127	0.077910492506749973	0.046585901946123442	299841	-0.30584114738525359	0.021528439655340348	446237	0.071324302718747123	0.15749462675252612	492363	0.53595652201929522	0.054051255766973894	1674807	-0.00050206528188878607	0.011477466730013486	5.5856495108925746	1.7063738056527895	-0.055504164799482503	76	9	1	0.96779258119067113	-0.0021099207932449016	-0.00080816862107435661	0.16657034247063621	-0.0032169569108567997	-0.017986621321657015	0.092607764616163379	0.019858513797289701	0.029785817893869734	0.17523241558305458	0.052350011330366181	0.015732612347271496			2024-09-18 14:08:39
2017-10-01	2017-10-31	30	national	11	1400	t	 National	National	U.S.	US	All Residential	-1	271359.76513551001	0.0051350331170478825	0.065660475948770003	283302.62208774203	-0.0018073267745880583	0.057036240172026353	146.79045458701299	0.0016303444888023932	0.072546850895386816	151.10725692612701	0.00026993661125662705	0.063645334123582309	524708.85673629201	0.011375682510562202	0.002441416603827129	624505.98799140204	0.051136245643772948	0.050795139957798607	618051.82752869895	0.024717851382164646	0.028678686971645551	1501265.8329731401	-0.018050438054067364	-0.091064569200414058	2.92748352167736	-0.04848298025935005	-0.3046077451695699	44.004683625714101	-1	-6	0.983965212789632	0.00057018108475803686	0.0030276523071890438	0.24580884473121301	-0.0014236520594559932	0.017244616445055011	0.116002529458377	-0.0010858599462150037	0.0050830523640999908	0.33736579552504797	0.0062569027999179738	0.023367292218427982			2024-09-18 00:00:00
2012-12-01	2012-12-31	30	national	11	1400	t	 National	National	U.S.	US	Single Units Only	-2	192969.41489941601	0.0093079784780911723		201659.960236196	0.012439285090966035		107.45869828843399	0.01549979565210946		109.35170730885	0.0090697718265764227		415948.87481250399	0.013808400783663854		503678.67944191903	0.015355664826296467		524175.59327290999	0.033102815199883118		1785154.6585321201	0.0052498580715314436		4.3376510755961997	-0.093935829441440077		69.570599189840706	-1		0.97493080511743302	0.001299010597790029		0.23270061924275401	0.011750938887332002		0.065393325511048206	0.014908709523035003		0.17364168896944199	0.014383038160407979				2024-09-18 00:00:00
2020-06-01	2020-06-30	30	national	11	1400	t	 National	National	U.S.	US	Single Units Only	-2	300577.36429914401	0.028487179557592501	0.032193893460399359	326911.81524008297	0.028160230353738269	0.086199538667842468	160.683174546315	0.024962892916598145	0.026589412047128391	175.373936273038	0.028256375537399014	0.086395046617047777	459416.66144971998	0.22138160394172446	-0.11563616812740007	686152.28357901797	0.20234124498013917	0.13664731423377763	575618.29276399699	0.10593671089605028	-0.067053593582811932	1128338.16137129	-0.087671091320141059	-0.27594337565222371	2.4490974097864702	-0.92123867206181975	-0.49132442791287989	46.817105351779396	1	2	0.98054017987307696	0.0013299005405789099	0.00028987359736298846	0.23115955341380201	0.0087873905034999977	0.0048058872012120002	0.112359190097832	-0.012821870575334002	-0.041204202923307995	0.37963104556086602	0.044000543668364034	0.034348997731624031			2024-09-18 00:00:00
2018-05-01	2018-05-31	30	national	11	1400	t	 National	National	U.S.	US	All Residential	-1	280562.25781469001	0.0027776329265007949	0.069306270415984805	294029.84801296901	0.0055484466594979409	0.063010666952247885	151.91960528941999	0.0037781573642727828	0.063049074571110753	156.244261978509	-0.00020180518182888463	0.061320614801293916	524905.33348822	-0.0065502480234382876	0.0038396506199969149	603747.27521795698	-0.015438037759775036	0.00033344137137469865	642963.38188154495	0.025565517083814493	0.018387550395530194	1502001.9060644701	0.02391030091729851	-0.0572615442710388	2.8683405190712099	0.012937186298769721	-0.18220061509290009	40.6225562280259	1	-4	0.98290138929819104	-0.00067146004031293227	0.0024240273072830831	0.25709073442723801	-0.0015958195748039805	0.012436871648646014	0.13629231278036599	0.0030315876417769949	0.020621350324232998	0.36281067245594401	0.0007713378641819868	0.032240350221512004			2024-09-18 00:00:00
2012-09-01	2012-09-30	30	national	11	1400	t	 National	National	U.S.	US	Condo/Co-op	3	158280.142243084	0.026161634635652797		163825.17969427601	0.0059230381256683007		133.24507209705399	0.0045363113059129212		138.51430690830099	0.0091917718855163422		48577.375777497	0.040636146082653646		57390.580908933996	0.022941369718011639		58630.773630599899	0.0094908105477700122		220949.48507492201	-0.031602486515511452		4.8347002793906899	-0.23209637395247995		79.053333743498598	-3		0.96591473765589497	0.0019450057814819344		0.19303666726386201	0.013783225520972997		0.053307640976240897	-0.00025277649687140136		0.173649667683756	0.011504612414828003				2024-09-18 00:00:00
2019-02-01	2019-02-28	30	national	11	1400	t	 National	National	U.S.	US	Townhouse	13	256875.03614489199	-0.010308435415675277	0.029871268047973132	268435.72355398402	0.013236429501942482	0.045687469100122335	158.60707095977	-0.0025986525698415974	0.033849543283740458	163.77794961829301	0.0062581643664656461	0.032372779573585531	47500.017840024899	0.051601424447728972	0.016080572236993884	56108.618019686597	0.024697046519515098	0.080552080302422446	56775.747248900501	-0.019801498635870662	-0.0066933170032638101	124863.46328880799	0.0041285604700154188	0.13539144001661829	2.8755826323233	-0.064985206772259829	0.35265268078912992	41.597598918862602	2	5	0.98644853137850397	-0.0020013886720330332	-0.0037935837079310364	0.24031545051644501	-0.0004965961643299821	-0.033370308519935971	0.14651115004774201	0.0020821310192200015	0.045947084479277006	0.35733903794307798	-0.0089964414174710239	-0.0052766722258550391			2024-09-18 00:00:00
